nombre,codigo,idE
rot weiss essen:verl,1017,649635
waldhof mannheim:viktoria cologne,1018,649636
burghausen:schalding-heining,1024,649637
inter turku:seinajoen jk,1023,649638
eintracht bamberg:djk vilzing,1025,649639
spvgg ansbach:fv illertissen,1026,649640
sv viktoria aschaffenburg:fc bayern münchen ii,1027,649641
tsv aubstadt:fc schweinfurt 05,1028,649642
wurzburger kickers:1. fc nurnberg ii,1029,649643
astoria walldorf:hessen kassel,1030,649644
bahlinger sc:stuttgarter kickers,1031,649645
fc 08 homburg-saar:offenbach,1032,649646
fsv frankfurt:steinbach,1033,649647
sgv freiberg:koblenz,1034,649648
1. fc bocholt:fc gutersloh 2000,1035,649649
1. fc duren:rot weiss oberhausen,1036,649650
borussia monchengladbach ii:ssvg velbert,1038,649651
fc schalke 04 ii:wiedenbruck,1039,649652
rodinghausen:sc paderborn 07 ii,1040,649653
rot weiss ahlen:fortuna dusseldorf (am),1041,649654
wuppertaler:sv lippstadt 08,1042,649655
goa:odisha fc,1046,649658
zalgiris kaunas:banga,1047,649660
liepaja:jelgava,1048,649661
rigas futbola skola:fk auda,1049,649663
arendal:vard haugesund,1051,649664
lnz lebedyn:oleksandria,1056,649672
south korea (u23):japan (u23),583,650003
dornbirn:sk sturm graz (a),1058,649675
grazer ak:schwarz weiss bregenz,1059,649676
inter:bologna,218,648444
bordeaux:laval,336,648480
ankaragucu:kayserispor,487,648544
aik stockholm:mjallby,519,648565
halmstad:degerfors,520,648566
energetik bgu:dinamo minsk,1063,649674
el dakhleya:al masry,1166,649678
bohemians 1905:fastav zlin,1160,649679
ceske budejovice:karvina,1161,649680
sigma olomouc:mlada boleslav,1162,649681
slovacko:teplice,1163,649682
kolding:hb koge,1164,649683
ekenas:gnistan,1167,649684
mp mikkelin:turun palloseura,1168,649685
sjk akatemia:hifk,1169,649686
sv meppen:fc kilia kiel,1170,649688
kjelsas:grorud il,1175,649689
raufoss:mjondalen,1172,649690
sogndal:moss,1174,649691
kvik halden fk:gjovik-lyn,1176,649692
skeid:sandnes,1173,649693
ullern if:strommen,1178,649695
pogon siedlce:skra czestochowa,1182,649697
wisla pulawy:olimpia grudziadz,1183,649698
podbeskidzie:stal rzeszow,1181,649699
widzew lodz:stal mielec,1180,649702
tondela:leixoes,1184,649704
oster:orebro,1187,649706
skovde:gefle,1188,649707
vasteras sk:jonkopings,1189,649709
sanliurfaspor:genclerbirligi,1191,649711
al wasl:ajman,1194,649710
rb leipzig:bochum,238,648463
augsburg:darmstadt,239,648464
dortmund:union berlin,240,648465
stuttgart:wolfsburg,244,648468
bala town:colwyn bay,1197,649713
baltika kaliningrad:orenburg,1195,649714
newtown:caernarfon town fc,1198,649715
penybont:the new saints,1199,649716
manchester utd:brentford,202,648425
fulham:sheffield utd,203,648426
everton:bournemouth,204,648427
burnley:chelsea,210,648428
cercle brugge:oh leuven,459,648517
cardiff:watford,606,648847
leicester:stoke,607,648848
coventry:norwich,608,648849
ipswich:preston,609,648850
leeds:bristol city,610,648851
millwall:hull,611,648852
plymouth:swansea,613,648853
southampton:rotherham,612,648854
sheffield wed:huddersfield,614,648855
qpr:blackburn,616,648857
sabah:araz nakhchivan pfk,1205,649722
osijek:nk rudes,1206,649723
trans narva:jalgpallikool,1211,649724
mas taborsko:sk sigma olomouc b,1207,649725
vlasim:dukla prague,1208,649726
alfreton:warrington town,1213,649728
tarragona:ponferradina,1210,649729
banbury united:blyth spartans,1214,649730
bishops stortford:southport,1215,649731
haka:kotka,1212,649732
curzon ashton:boston utd,1217,649733
chester:peterborough sports fc,1216,649734
king's lynn town:buxton,1219,649735
gloucester city:chorley,1218,649736
scarborough athletic:farsley celtic,1220,649737
scunthorpe:brackley town,1221,649738
south shields:hereford,1222,649739
spennymoor town:rushall olympic,1223,649740
tamworth:darlington,1224,649741
braintree:bath city,1225,649742
chippenham town:dartford,1226,649743
dover athletic:taunton town,1227,649744
tonbridge angels:hemel hempstead,1231,649745
saint albans:eastbourne borough,1229,649746
havant & waterlooville:hampton & richmond,1228,649747
slough town:weymouth,1230,649748
torquay:maidstone utd,1232,649749
welling utd:farnborough,1233,649750
weston super mare:chelmsford city,1234,649751
worthing fc:truro city,1235,649752
yeovil:aveley fc,1236,649753
bolton:carlisle,1237,649754
charlton:blackpool,1238,649755
exeter:barnsley,1240,649756
cheltenham:derby county,1239,649757
fleetwood town:wycombe,1241,649758
portsmouth:port vale,1244,649759
leyton orient:reading,1242,649760
peterborough:lincoln,1243,649761
shrewsbury:northampton,1245,649762
stevenage:wigan,1246,649763
accrington:forest green,1247,649764
barrow:notts county,1248,649765
bradford:swindon,1249,649766
colchester:morecambe,1250,649767
crawley:wrexham,1251,649768
mansfield:afc wimbledon,1253,649769
gillingham:mk dons,1252,649770
newport county:harrogate town,1254,649771
salford city:crewe,1255,649772
stockport:doncaster,1256,649773
tranmere:grimsby,1258,649774
sutton utd:walsall,1257,649775
boreham:chesterfield,1259,649776
gateshead:altrincham,1261,649777
kidderminster:wealdstone,1263,649778
hartlepool:eastleigh,1262,649779
ebbsfleet utd:halifax,1260,649780
maidenhead utd:rochdale,1264,649781
oldham:dagenham & red,1265,649782
oxford city:afc fylde,1266,649783
solihull:aldershot,1267,649784
woking:southend,1268,649785
ballymena utd:newry city afc,1270,649786
cliftonville:dungannon,1271,649787
coleraine:glenavon,1272,649788
loughgall:carrick rangers,1273,649789
york:bromley,1269,649790
suduva:fc dziugas,1279,649791
fylkir:fram,1274,649795
hafnarfjordur:kr reykjavik,1275,649796
ka akureyri:kopavogur,1276,649797
vestmannaeyjar:keflavik,1277,649799
vikingur reykjavik:valur,1278,649800
cove rangers:annan,1285,649802
edinburgh city:kelty hearts fc,1286,649803
montrose:alloa,1287,649804
queen of south:stirling albion,1288,649805
bonnyrigg rose:east fife,1289,649806
clyde:dumbarton,1290,649807
elgin:stenhousemuir,1291,649808
forfar:peterhead,1292,649809
stranraer:spartans,1293,649810
airdrieonians:ayr utd,1294,649811
dunfermline:arbroath,1295,649812
inverness ct:partick thistle,1296,649813
novi pazar:vojvodina,1303,649814
queens park:morton,1297,649815
raith rovers:dundee utd,1298,649816
celtic:kilmarnock,1299,649817
dundee:ross county,1300,649818
hearts:hibernian,1301,649819
livingston:motherwell,1302,649820
if karlstad fotboll:fc stockholm internazionale,1304,649821
motala aif fk:united ik nordic,1305,649822
vasalund essinge:sylvia,1306,649823
ahlafors if:lunds,1307,649824
ariana fc:trollhattan,1308,649825
atvidaberg:bk olympic,1309,649826
norrby:eskilsminne if,1310,649827
oskarshamns aik:angelholms,1311,649828
torns if:oddevold,1312,649829
kolos kovalivka:vorskla poltava,1313,649837
jong krc genk:beerschot wilrijk,1314,649838
real madrid:osasuna,228,648454
unione venezia:parma,445,648504
cittadella:ternana,448,648506
ascoli picchio:sampdoria,449,648508
ujpest:diosgyori,1316,649830
fc legnago salus ssd:giana erminio,1317,649831
renate:triestina,1318,649832
ssd pro sesto:novara,1319,649833
huesca:club deportivo eldense,1315,649834
heerenveen:nijmegen,466,648524
farense:vizela,475,648533
chaves:gil vicente,476,648534
chennai club:atk mohun bagan,1321,649836
aue:saarbrucken,1320,649845
slavia sofia:arda kurdzhali,1325,649841
metz:nice,248,648472
austria lustenau:rapid vienna,450,648509
hartberg:wsg wattens,451,648510
austria vienna:blau-weiss linz,452,648511
neman grodno:belshina bobruisk,1328,649844
chojniczanka chojnice:zaglebie ii lubin,1334,649849
hapoel tel aviv:hapoel haifa,1329,649851
al akhdood:al hilal (riyadh),1331,649853
ostersunds:helsingborg,1336,649854
gothenburg:sirius,525,648567
curico:cobresal,562,648588
celje:ask bravo,1339,649852
zaglebie lubin:piast gliwice,1337,649857
cerro largo:atletico fenix,1340,649858
wisla krakow:znicz pruszkow,1338,649860
voluntari:csu craiova,1341,649861
juventus:torino,219,648445
basaksehir:gaziantep bld spor,488,648546
antalyaspor:galatasaray,492,648550
odds bk:viking,500,648557
